order_id,customer_name,email,product_category,product_name,quantity,unit_price,discount,payment_method,order_status,order_date,delivery_date,rating,region
ORD-0134,SHEILA REYES,sheila.reyes@yahoo.com,Home & Living,Air Purifier,1,221171.14,0.2,Credit card,Deliverd,2024-04-10,2024-04-16,,Visayas
ORD-0770,Felix Evangelista,felix.evangelista@outlook.com,Food & Grocery,Canned Goods,5,45.0,0.05,cod,returned,2024-04-04,,2,Visayas
ORD-0881,Rachel Domingo,rachel.domingo@yahoo.com,Clothing,Running Shoes,2,2500.0,0.05,Credit Card,DELIVERED,2024-04-28,2024-05-08,5,MINDANAO
ORD-0901,MARK DELA CRUZ,mark.delacruz@gmail.com,Food & Grocery,Coffee Pack,5,85.0,0.2,DebitCard,Delivered,2024-01-31,2024-02-10,4,Visayas
ORD-0091,JENNY DOMINGO,jenny.domingo@outlook.com,Home & Living,Air Purifier,4,8500.0,0.15,Credit card,delivered,2024-02-27,2024-03-06,2,mindanao
ORD-0270,Rodrigo Domingo,rodrigo.domingo@gmail.com,Clothing,Jogger Pants,4,799.0,0.1,DebitCard,delivered,2024-01-19,2024-01-25,1,Mindanao
ORD-0981,Carla Padilla,carla.padilla@yahoo.com,Beauty,Face Wash,4,320.0,0.05,Credit card,Delivered,2024-02-08,2024-02-18,3,visayas
ORD-0558,Sheila Magsaysay,sheila.magsaysay@gmail.com,Electronics,Phone Case,2,199.0,0.1,Gcash,Deliverd,2024-08-23,2024-08-26,5,Mindanao
ORD-0328,LISA DOMINGO,lisa.domingo@yahoo.com,Clothing,Socks Pack,3,150.0,0.1,GCash,Returned,2024-09-18,,4,VISAYAS
ORD-0260,Sarah Tolentino,sarah.tolentino@gmail.com,Food & Grocery,Rice 5kg,4,250.0,0.2,DebitCard,DELIVERED,2024-11-09,2024-11-12,3,luzon
ORD-0024,Ricky Lim,ricky.lim@outlook.com,Electronics,USB Hub,5,,0.15,DebitCard,RETURNED,2024-04-22,,4,visayas
ORD-0608,sarah torres,sarah.torres@yahoo.com,Electronics,Bluetooth Speaker,4,3200.0,0.05,Gcash,DELIVERED,2024-01-23,2024-01-26,2,Visayas
ORD-0957,Ramon Evangelista,RAMON.EVANGELISTA@GMAIL.COM,Clothing,Polo Shirt,2,550.0,,Gcash,DELIVERED,2024-09-29,2024-10-07,1,visayas
ORD-0826,Marco Lim,MARCO.LIM@GMAIL.COM,Electronics,USB Hub,4,450.0,0.0,cod,DELIVERED,2024-10-14,2024-10-22,3,Mindanao
ORD-0828,arnold garcia,ARNOLD.GARCIA@YAHOO.COM,Home & Living,Picture Frame,5,220.0,0.0,COD,Deliverd,2024-05-11,2024-05-17,3,luzon
ORD-0327,Noel Mendoza,noel.mendoza@yahoo.com,Food & Grocery,Cooking Oil,1,120.0,0.2,Debit Card,DELIVERED,2024-08-25,2024-08-31,2,MINDANAO
ORD-0458,maria ocampo,maria.ocampo@outlook.com,Clothing,Jogger Pants,1,799.0,0.05,CreditCard,Deliverd,2024-04-12,2024-04-16,3,mindanao
ORD-0870,Eddie Espiritu,eddie.espiritu@outlook.com,Electronics,Bluetooth Speaker,4,3200.0,0.0,credit card,Canceled,2024-12-11,,,VISAYAS
ORD-0768,Maria Macapagal,maria.macapagal@outlook.com,Beauty,Serum,1,780.0,0.2,credit card,Cancelled,2024-03-23,,,MINDANAO
ORD-0500,Jenny Flores,jenny.flores@gmail.com,Electronics,Bluetooth Speaker,5,3200.0,0.0,Credit Card,DELIVERED,2024-01-09,2024-01-17,5,Mindanao
ORD-0427,Ramon Aguilar,ramon.aguilar@gmail.com,Electronics,USB Hub,3,450.0,0.05,GCash,SHIPPED,2024-05-11,2024-05-17,4,Visayas
ORD-0759,Eleanor Dela Rosa,eleanor.delarosa@yahoo.com,Beauty,Moisturizer,1,550.0,0.2,DebitCard,CANCELLED,2024-06-01,,,mindanao
ORD-0403,Rachel Uy,RACHEL.UY@OUTLOOK.COM,Food & Grocery,Instant Noodles,2,15.0,0.05,gcash,cancelled,2024-01-27,,,mindanao
ORD-0976,Anna Gutierrez,anna.gutierrez@yahoo.com,Beauty,Serum,2,780.0,0.05,Cash on Delivery,Delivered,2024-04-05,2024-04-15,3,VISAYAS
ORD-0954,Nina Santos,nina.santos@outlook.com,Food & Grocery,Coffee Pack,2,85.0,0.2,COD,Deliverd,2024-03-13,2024-03-16,5,luzon
ORD-0911,Christine Villanueva,CHRISTINE.VILLANUEVA@GMAIL.COM,Beauty,Lip Tint,1,199.0,0.1,Debit Card,delivered,2024-01-09,2024-01-17,4,mindanao
ORD-0872,ben cruz,ben.cruz@gmail.com,Electronics,Phone Case,1,199.0,0.15,cod,CANCELLED,2024-09-02,,,Luzon
ORD-0246,GILBERT DOMINGO,gilbert.domingo@yahoo.com,Home & Living,Rice Cooker,1,899.0,0.2,Gcash,DELIVERED,2024-06-22,2024-07-02,4,Mindanao
ORD-0073,Rowena Villafuerte,rowena.villafuerte@yahoo.com,Clothing,Dress,4,1200.0,0.1,Debit Card,SHIPPED,2024-04-02,2024-04-09,3,VISAYAS
ORD-0761,Rowena Torres,rowena.torres@gmail.com,Clothing,Socks Pack,1,150.0,0.0,Cash on Delivery,Cancelled,2024-09-24,,,VISAYAS
ORD-0969,Ricky Evangelista,ricky.evangelista@gmail.com,Home & Living,Picture Frame,1,220.0,0.1,DebitCard,Delivered,2024-03-27,2024-04-03,3,Luzon
ORD-0729,Lisa Pascual,lisa.pascual@outlook.com,Food & Grocery,Canned Goods,4,45.0,0.1,COD,Canceled,2024-08-07,,,Mindanao
ORD-0590,Carlo Pascual,carlo.pascual@outlook.com,Food & Grocery,Rice 5kg,4,250.0,0.05,gcash,delivered,2024-06-11,2024-06-18,1,LUZON
ORD-0366,melissa garcia,melissa.garcia@gmail.com,Clothing,Jacket,4,1800.0,0.15,Credit Card,DELIVERED,2024-03-17,2024-03-25,,Visayas
ORD-0830,Trisha Lim,trisha.lim@yahoo.com,Beauty,Lip Tint,4,199.0,0.1,credit card,Delivered,2024-10-31,2024-11-03,5,Visayas
ORD-0749,Jose Soriano,jose.soriano@outlook.com,Food & Grocery,Cooking Oil,5,120.0,0.1,cod,Delivered,2024-11-27,2024-12-01,3,MINDANAO
ORD-0420,Noel Fernandez,noel.fernandez@outlook.com,Clothing,Polo Shirt,1,550.0,0.05,Debit Card,Delivered,2024-01-27,2024-02-05,4,MINDANAO
ORD-0186,jasmine gutierrez,jasmine.gutierrez@gmail.com,Home & Living,Electric Fan,1,1500.0,0.0,DebitCard,Returned,2024-05-28,,1,LUZON
ORD-0638,Noel Ramos,noel.ramos@gmail.com,Food & Grocery,Rice 5kg,3,250.0,0.05,Cash on Delivery,DELIVERED,2024-05-13,2024-05-22,1,Visayas
ORD-0645,kevin domingo,kevin.domingo@outlook.com,Beauty,Serum,4,780.0,0.2,CreditCard,Deliverd,2024-08-18,2024-08-23,1,Mindanao
ORD-0649,Tina Magsaysay,tina.magsaysay@outlook.com,Electronics,Laptop Stand,3,850.0,0.15,DebitCard,Deliverd,2024-12-18,2024-12-26,4,Visayas
ORD-0748,jasmine castillo,jasmine.castillo@outlook.com,Food & Grocery,Cooking Oil,4,120.0,0.2,COD,SHIPPED,2024-11-07,2024-11-14,5,Luzon
ORD-0296,SARAH AGUILAR,sarah.aguilar@gmail.com,Beauty,Lip Tint,3,199.0,0.15,COD,Delivered,2024-03-01,2024-03-07,2,LUZON
ORD-0601,Sammy Flores,sammy.flores@yahoo.com,Food & Grocery,Cooking Oil,4,120.0,0.0,COD,Deliverd,2024-04-06,2024-04-15,1,VISAYAS
ORD-0059,luz dela rosa,LUZ.DELAROSA@OUTLOOK.COM,Electronics,Laptop Stand,1,850.0,0.2,debit card,Deliverd,2024-01-11,2024-01-19,2,mindanao
ORD-0958,Ben Pascual,ben.pascual@yahoo.com,Clothing,Dress,4,1200.0,0.1,GCash,DELIVERED,2024-05-01,2024-05-04,3,MINDANAO
ORD-0877,Rodrigo Evangelista,rodrigo.evangelista@outlook.com,Beauty,Face Wash,5,320.0,0.05,COD,delivered,2024-02-23,2024-02-26,5,LUZON
ORD-0795,Arnold Navarro,arnold.navarro@outlook.com,Clothing,Polo Shirt,4,550.0,0.15,COD,Delivered,2024-05-10,2024-05-18,5,visayas
ORD-0227,Sarah Torres,sarah.torres@gmail.com,Beauty,Sunscreen SPF50,3,450.0,0.2,credit card,Deliverd,2024-08-16,2024-08-20,2,Visayas
ORD-0237,Pedro Castillo,pedro.castillo@outlook.com,Home & Living,Bed Sheets,2,650.0,0.2,DebitCard,Deliverd,2024-11-09,2024-11-12,5,Visayas
ORD-0409,Dennis Corpus,dennis.corpus@outlook.com,Clothing,Jacket,2,1800.0,0.05,Credit card,DELIVERED,2024-08-10,2024-08-19,1,Luzon
ORD-0777,Maria Pascual,MARIA.PASCUAL@GMAIL.COM,Beauty,Sunscreen SPF50,4,450.0,0.15,debit card,delivered,2024-11-02,2024-11-05,4,luzon
ORD-0437,Trisha Macaraeg,trisha.macaraeg@yahoo.com,Electronics,Power Bank,1,799.0,,DebitCard,CANCELLED,2024-10-19,,,luzon
ORD-0538,TONY CASTILLO,tony.castillo@gmail.com,Beauty,Sunscreen SPF50,2,450.0,,CreditCard,Deliverd,2024-10-08,2024-10-17,2,mindanao
ORD-0109,eleanor medina,eleanor.medina@yahoo.com,Beauty,Moisturizer,2,550.0,0.15,Debit Card,delivered,2024-02-07,2024-02-11,3,MINDANAO
ORD-0864,Jasmine Evangelista,jasmine.evangelista@outlook.com,Clothing,Socks Pack,1,150.0,0.15,cod,Deliverd,2024-09-01,2024-09-07,3,Visayas
ORD-0994,Paolo Villanueva,paolo.villanueva@gmail.com,Electronics,Phone Case,2,199.0,0.15,DebitCard,DELIVERED,2024-08-26,2024-08-31,3,Visayas
ORD-0586,Rodrigo Soriano,rodrigo.soriano@gmail.com,Home & Living,Rice Cooker,4,899.0,0.15,Credit Card,DELIVERED,2024-05-03,2024-05-13,4,Mindanao
ORD-0350,Noel Gutierrez,noel.gutierrez@gmail.com,Food & Grocery,Cooking Oil,1,120.0,0.05,gcash,RETURNED,2024-12-11,,1,MINDANAO
ORD-0088,Gilbert Pascual,gilbert.pascual@gmail.com,Home & Living,Electric Fan,3,1500.0,0.15,cod,DELIVERED,2024-03-03,2024-03-12,4,luzon
ORD-0145,Rosa Torres,rosa.torres@yahoo.com,Electronics,Bluetooth Speaker,3,,0.0,Cash on Delivery,DELIVERED,2024-04-17,2024-04-23,1,LUZON
ORD-0180,Carlo Fernandez,carlo.fernandez@outlook.com,Electronics,USB Hub,3,450.0,,Credit card,RETURNED,2024-07-25,,1,LUZON
ORD-0183,pedro flores,pedro.flores@outlook.com,Electronics,Wireless Earbuds,1,1299.0,0.0,CreditCard,shipped,2024-08-18,2024-08-27,4,VISAYAS
ORD-0706,Eddie Padilla,EDDIE.PADILLA@OUTLOOK.COM,Electronics,Phone Case,5,199.0,0.15,gcash,shipped,2024-12-22,2024-12-29,5,VISAYAS
ORD-0407,Lisa Evangelista,lisa.evangelista@gmail.com,Food & Grocery,Rice 5kg,3,250.0,0.0,gcash,returned,2024-03-12,,5,VISAYAS
ORD-0370,ben villanueva,BEN.VILLANUEVA@YAHOO.COM,Clothing,Jogger Pants,2,,0.1,CreditCard,DELIVERED,2024-05-24,2024-06-01,4,MINDANAO
ORD-0107,Lisa Fajardo,lisa.fajardo@yahoo.com,Electronics,Smart Watch,1,5999.0,0.2,GCash,Delivered,2024-04-01,2024-04-09,1,Mindanao
ORD-0219,Luz Dela Rosa,LUZ.DELAROSA@GMAIL.COM,Beauty,Lip Tint,2,199.0,0.15,Debit Card,DELIVERED,2024-06-14,2024-06-24,3,MINDANAO
ORD-0727,Sammy Padilla,sammy.padilla@yahoo.com,Beauty,Lip Tint,3,199.0,0.15,Credit card,DELIVERED,2024-03-09,2024-03-12,1,Luzon
ORD-0400,Ramon Padilla,ramon.padilla@gmail.com,Food & Grocery,Cooking Oil,3,120.0,0.05,Debit Card,delivered,2024-12-06,2024-12-09,5,MINDANAO
ORD-0571,Lena Flores,lena.flores@outlook.com,Food & Grocery,Cooking Oil,2,120.0,0.1,credit card,delivered,2024-06-06,2024-06-11,,Mindanao
ORD-0248,Dennis Macapagal,dennis.macapagal@gmail.com,Home & Living,Air Purifier,1,8500.0,0.05,COD,returned,2024-03-30,,1,Luzon
ORD-0215,Paolo Santos,paolo.santos@gmail.com,Electronics,Phone Case,3,199.0,0.0,Credit Card,cancelled,2024-06-24,,,visayas
ORD-0045,Kevin Macapagal,kevin.macapagal@gmail.com,Beauty,Lip Tint,1,199.0,0.0,debit card,DELIVERED,2024-04-22,2024-04-28,5,MINDANAO
ORD-0490,Sarah Tolentino,sarah.tolentino@yahoo.com,Electronics,Phone Case,4,199.0,0.0,cod,delivered,2024-09-09,2024-09-13,5,Mindanao
ORD-0222,Rachel Fajardo,rachel.fajardo@yahoo.com,Electronics,Phone Case,5,199.0,0.1,gcash,Returned,2024-02-06,,,LUZON
ORD-0206,Felix Castillo,felix.castillo@yahoo.com,Home & Living,Air Purifier,2,8500.0,0.1,debit card,cancelled,2024-10-19,,,Mindanao
ORD-0956,Luz Cruz,luz.cruz@outlook.com,Home & Living,Air Purifier,840,8500.0,0.15,GCash,cancelled,2024-04-22,,,Visayas
ORD-0355,Maria Bautista,MARIA.BAUTISTA@GMAIL.COM,Food & Grocery,Rice 5kg,2,250.0,,DebitCard,Delivered,2024-04-10,2024-04-19,1,MINDANAO
ORD-0099,Carla Santiago,carla.santiago@outlook.com,Home & Living,Air Purifier,1,8500.0,0.05,DebitCard,Cancelled,2024-06-25,,,VISAYAS
ORD-0647,Gina Padilla,gina.padilla@outlook.com,Beauty,Sunscreen SPF50,2,450.0,0.05,G-Cash,Delivered,2024-12-21,2024-12-28,2,Visayas
ORD-0150,Kevin Ocampo,kevin.ocampo@gmail.com,Beauty,Serum,4,780.0,0.15,Credit card,Delivered,2024-07-21,2024-07-24,5,MINDANAO
ORD-0808,Tony Flores,tony.flores@yahoo.com,Food & Grocery,Cooking Oil,5,120.0,0.15,Debit Card,DELIVERED,2024-11-26,2024-12-01,4,LUZON
ORD-0714,Ramon Lim,ramon.lim@gmail.com,Clothing,Running Shoes,5,2500.0,0.0,gcash,RETURNED,2024-02-17,,3,Mindanao
ORD-0819,Rosa Corpus,rosa.corpus@gmail.com,Food & Grocery,Cooking Oil,5,120.0,0.2,DebitCard,DELIVERED,2024-01-16,2024-01-24,5,visayas
ORD-0443,Dennis Garcia,DENNIS.GARCIA@GMAIL.COM,Beauty,Lip Tint,4,199.0,0.15,Credit Card,Cancelled,2024-07-05,,,MINDANAO
ORD-0798,Paolo Fernandez,paolo.fernandez@yahoo.com,Food & Grocery,Cooking Oil,5,120.0,0.05,DebitCard,returned,2024-06-08,,5,VISAYAS
ORD-0680,Eddie Soriano,eddie.soriano@outlook.com,Electronics,USB Hub,3,450.0,0.15,Credit card,Cancelled,2024-06-19,,,luzon
ORD-0101,marco lacson,marco.lacson@outlook.com,Electronics,Phone Case,4,199.0,0.0,Credit card,DELIVERED,2024-06-04,2024-06-07,2,Mindanao
ORD-0362,Rodrigo Dela Rosa,rodrigo.delarosa@gmail.com,Home & Living,Picture Frame,3,220.0,0.2,Credit Card,Delivered,2024-08-04,2024-08-12,2,Mindanao
ORD-0691,TONY DELA CRUZ,tony.delacruz@outlook.com,Beauty,Sunscreen SPF50,1,450.0,0.1,cod,Deliverd,2024-03-23,2024-04-01,2,Visayas
ORD-0527,MIA PADILLA,mia.padilla@outlook.com,Clothing,Socks Pack,3,150.0,0.2,cod,Deliverd,2024-11-29,2024-12-07,,visayas
ORD-0758,eleanor tan,eleanor.tan@yahoo.com,Beauty,Serum,5,780.0,0.2,Gcash,Cancelled,2024-05-19,,,MINDANAO
ORD-0738,Eleanor Santiago,eleanor.santiago@gmail.com,Clothing,Dress,841,1200.0,0.15,Debit Card,Delivered,2024-07-17,2024-07-23,1,LUZON
ORD-0873,Luz Espiritu,luz.espiritu@outlook.com,Beauty,Moisturizer,3,,0.1,G-Cash,Deliverd,2024-06-26,2024-07-05,1,Visayas
ORD-0813,Sammy Ocampo,sammy.ocampo@yahoo.com,Clothing,Polo Shirt,5,550.0,0.05,Credit Card,Delivered,2024-11-26,2024-12-06,1,LUZON
ORD-0267,Nina Villafuerte,nina.villafuerte@yahoo.com,Electronics,Phone Case,1,199.0,0.0,COD,Cancelled,2024-09-08,,,LUZON
ORD-0297,ramon uy,ramon.uy@gmail.com,Electronics,Wireless Earbuds,1,1299.0,0.0,GCash,Cancelled,2024-05-09,,,Mindanao
ORD-0332,Alan Macapagal,ALAN.MACAPAGAL@YAHOO.COM,Beauty,Moisturizer,4,550.0,0.2,G-Cash,shipped,2024-09-19,2024-09-29,2,Mindanao
ORD-0822,jenny ramos,jenny.ramos@yahoo.com,Food & Grocery,Instant Noodles,4,15.0,0.1,Cash on Delivery,Delivered,2024-10-10,2024-10-18,3,luzon
ORD-0945,Jasmine Dela Rosa,jasmine.delarosa@gmail.com,Electronics,Power Bank,4,799.0,,CreditCard,DELIVERED,2024-10-26,2024-11-03,1,Luzon
ORD-0502,Rowena Reyes,ROWENA.REYES@OUTLOOK.COM,Food & Grocery,Coffee Pack,3,85.0,0.2,COD,SHIPPED,2024-01-17,2024-01-22,4,Mindanao
ORD-0698,Lisa Evangelista,lisa.evangelista@outlook.com,Food & Grocery,Rice 5kg,1,250.0,0.0,Debit Card,DELIVERED,2024-01-27,2024-02-01,1,Mindanao
ORD-0029,Victor Magsaysay,victor.magsaysay@outlook.com,Clothing,Running Shoes,3,2500.0,0.15,debit card,Deliverd,2024-06-15,2024-06-20,4,visayas
ORD-0692,Alan Santiago,ALAN.SANTIAGO@OUTLOOK.COM,Clothing,Running Shoes,1,2500.0,0.1,G-Cash,Delivered,2024-09-13,2024-09-23,5,MINDANAO
ORD-0569,noel lacson,noel.lacson@yahoo.com,Food & Grocery,Rice 5kg,5,250.0,0.0,GCash,Returned,2024-09-19,,1,VISAYAS
ORD-0198,Mia Macapagal,mia.macapagal@outlook.com,Electronics,Power Bank,2,799.0,0.05,debit card,RETURNED,2024-12-22,,1,Mindanao
ORD-0380,Homer Santiago,homer.santiago@gmail.com,Clothing,Polo Shirt,3,550.0,0.0,gcash,Delivered,2024-04-22,2024-04-26,2,luzon
ORD-0419,Patricia Soriano,patricia.soriano@gmail.com,Home & Living,Air Purifier,4,8500.0,0.2,credit card,Delivered,2024-05-14,2024-05-20,4,Mindanao
ORD-0381,Paolo Medina,paolo.medina@gmail.com,Beauty,Moisturizer,1,550.0,0.1,DebitCard,Delivered,2024-07-18,2024-07-24,4,mindanao
ORD-0324,Nina Macapagal,nina.macapagal@outlook.com,Electronics,Smart Watch,5,5999.0,0.05,gcash,DELIVERED,2024-12-14,2024-12-18,4,luzon
ORD-0057,Trisha Ramos,trisha.ramos@outlook.com,Electronics,Bluetooth Speaker,2,3200.0,0.0,debit card,Canceled,2024-05-19,,,luzon
ORD-0166,KEVIN AGUILAR,kevin.aguilar@yahoo.com,Beauty,Lip Tint,843,199.0,0.0,Debit Card,Delivered,2024-02-21,2024-02-28,2,visayas
ORD-0474,Carla Macapagal,carla.macapagal@yahoo.com,Electronics,Bluetooth Speaker,4,3200.0,0.2,DebitCard,DELIVERED,2024-12-13,2024-12-21,3,visayas
ORD-0632,Rosa Magsaysay,rosa.magsaysay@yahoo.com,Home & Living,Picture Frame,5,220.0,0.05,gcash,delivered,2024-09-25,2024-10-02,2,VISAYAS
ORD-0920,Lena Reyes,lena.reyes@gmail.com,Food & Grocery,Instant Noodles,3,15.0,0.15,cod,Shipped,2024-06-10,2024-06-14,3,VISAYAS
ORD-0200,Jose Dizon,jose.dizon@outlook.com,Electronics,Phone Case,2,199.0,0.0,debit card,shipped,2024-10-27,2024-11-02,,Mindanao
ORD-0997,Tony Ocampo,tony.ocampo@outlook.com,Beauty,Face Wash,4,11275.99,0.15,CreditCard,delivered,2024-11-22,2024-11-30,3,mindanao
ORD-0740,Rowena Torres,rowena.torres@yahoo.com,Food & Grocery,Rice 5kg,4,250.0,0.15,debit card,delivered,2024-06-25,2024-06-28,5,mindanao
ORD-0071,noel evangelista,NOEL.EVANGELISTA@YAHOO.COM,Beauty,Lip Tint,3,199.0,0.0,gcash,Delivered,2024-06-29,2024-07-07,2,mindanao
ORD-0623,Melissa Tan,melissa.tan@gmail.com,Clothing,Socks Pack,4,150.0,0.1,G-Cash,Delivered,2024-02-10,2024-02-15,2,MINDANAO
ORD-0247,Carlo Espiritu,carlo.espiritu@yahoo.com,Beauty,Sunscreen SPF50,5,450.0,0.1,Gcash,DELIVERED,2024-02-03,2024-02-08,3,visayas
ORD-0561,Mark Ocampo,mark.ocampo@yahoo.com,Food & Grocery,Cooking Oil,1,120.0,0.05,Debit Card,Deliverd,2024-11-03,2024-11-10,4,VISAYAS
ORD-0255,Lena Macapagal,lena.macapagal@gmail.com,Electronics,Power Bank,5,799.0,0.2,G-Cash,DELIVERED,2024-07-26,2024-07-30,5,mindanao
ORD-0921,Paolo Uy,paolo.uy@yahoo.com,Food & Grocery,Instant Noodles,1,15.0,0.1,Debit Card,DELIVERED,2024-07-14,2024-07-24,1,VISAYAS
ORD-0011,Pedro Macaraeg,PEDRO.MACARAEG@GMAIL.COM,Food & Grocery,Instant Noodles,1,15.0,0.05,Debit Card,Shipped,2024-03-25,2024-04-03,1,visayas
ORD-0560,SAMMY BAUTISTA,sammy.bautista@gmail.com,Electronics,Bluetooth Speaker,5,3200.0,0.05,debit card,Delivered,2024-06-12,2024-06-16,2,Visayas
ORD-0572,Victor Dela Rosa,victor.delarosa@yahoo.com,Clothing,Polo Shirt,3,550.0,0.05,CreditCard,delivered,2024-08-13,2024-08-17,,MINDANAO
ORD-0910,ALAN EVANGELISTA,alan.evangelista@outlook.com,Food & Grocery,Rice 5kg,3,250.0,0.0,Credit Card,Deliverd,2024-06-05,2024-06-11,5,visayas
ORD-0477,Kevin Navarro,kevin.navarro@yahoo.com,Electronics,Phone Case,3,199.0,0.15,cod,delivered,2024-05-08,2024-05-13,4,visayas
ORD-0311,Luz Villafuerte,luz.villafuerte@gmail.com,Clothing,Running Shoes,3,2500.0,0.2,G-Cash,Delivered,2024-02-12,2024-02-20,5,luzon
ORD-0201,Luz Domingo,luz.domingo@outlook.com,Home & Living,Electric Fan,5,1500.0,0.15,COD,SHIPPED,2024-02-24,2024-02-28,5,LUZON
ORD-0251,Rosa Evangelista,rosa.evangelista@yahoo.com,Home & Living,Electric Fan,3,1500.0,0.1,cod,Cancelled,2024-03-07,,,Mindanao
ORD-0253,Ana Magsaysay,ana.magsaysay@outlook.com,Home & Living,Bed Sheets,2,650.0,0.1,GCash,Cancelled,2024-06-28,,,luzon
ORD-0841,sheila castillo,sheila.castillo@yahoo.com,Electronics,Power Bank,5,799.0,0.0,COD,Delivered,2024-04-02,2024-04-08,4,Luzon
ORD-0807,Ramon Cruz,ramon.cruz@gmail.com,Home & Living,Air Purifier,3,8500.0,0.15,Cash on Delivery,CANCELLED,2024-03-15,,,Luzon
ORD-0046,Ramon Villanueva,ramon.villanueva@yahoo.com,Electronics,Smart Watch,3,5999.0,0.1,Debit Card,delivered,2024-10-03,2024-10-11,5,Visayas
ORD-0148,RONALD DOMINGO,ronald.domingo@yahoo.com,Beauty,Face Wash,1,320.0,0.1,Debit Card,Delivered,2024-04-15,2024-04-20,3,Visayas
ORD-0686,Irene Espiritu,irene.espiritu@outlook.com,Beauty,Face Wash,3,320.0,0.1,Credit Card,DELIVERED,2024-07-31,2024-08-04,4,Visayas
ORD-0108,Melissa Corpus,melissa.corpus@outlook.com,Beauty,Serum,3,780.0,0.0,COD,Deliverd,2024-04-28,2024-05-02,3,MINDANAO
ORD-0517,Mia Santos,MIA.SANTOS@GMAIL.COM,Electronics,USB Hub,4,450.0,0.1,GCash,RETURNED,2024-12-26,,,MINDANAO
ORD-0694,homer villafuerte,homer.villafuerte@outlook.com,Beauty,Face Wash,2,320.0,0.2,Gcash,Canceled,2024-07-17,,,Luzon
ORD-0353,Trisha Pascual,trisha.pascual@yahoo.com,Home & Living,Air Purifier,2,8500.0,0.0,Credit Card,Cancelled,2024-01-05,,,MINDANAO
ORD-0597,VICTOR TOLENTINO,VICTOR.TOLENTINO@OUTLOOK.COM,Home & Living,Picture Frame,1,220.0,0.0,credit card,delivered,2024-04-02,2024-04-05,4,Visayas
ORD-0175,Homer Aguilar,homer.aguilar@gmail.com,Home & Living,Air Purifier,4,8500.0,0.2,cod,returned,2024-12-30,,5,Luzon
ORD-0805,Tina Padilla,tina.padilla@yahoo.com,Clothing,Polo Shirt,1,550.0,0.1,gcash,cancelled,2024-07-28,,,mindanao
ORD-0051,Ben Soriano,BEN.SORIANO@OUTLOOK.COM,Clothing,Polo Shirt,5,550.0,0.0,COD,Delivered,2024-03-30,2024-04-06,1,VISAYAS
ORD-0982,IRENE VILLANUEVA,irene.villanueva@yahoo.com,Food & Grocery,Rice 5kg,1,250.0,0.15,Credit Card,delivered,2024-02-23,2024-03-03,,Mindanao
ORD-0499,juan espiritu,juan.espiritu@yahoo.com,Food & Grocery,Coffee Pack,4,85.0,0.1,COD,cancelled,2024-05-12,,,Visayas
